filename,deutsche_num,degree_entropy,intervallic_entropy,npvi,start_date,completion_date,wellness,NOTES (to be deleted)
D/B/RISM452509616-1-1-1.thm,165,2.39358,2.32441,49.139,1815.03,1815.03,well,
D/B/RISM452509663-1-1-1.thm,166,2.7719,2.93983,80.9199,1815.03,1815.03,well,
D/B/RISM452509663-1-1-2.thm,166,1.4183,1.95915,63.4921,1815.03,1815.03,well,
A/Wdp/RISM600501517-1-1-1.thm,167,2.47291,2.2798,68.2993,1815.03,1815.03,well,
D/B/RISM452509678-1-1-1.thm,169,0.811278,1.5,22.2222,1815.03,1815.03,well,
D/B/RISM452509678-1-1-2.thm,169,0.811278,1.5,56.6667,1815.03,1815.03,well,
D/B/RISM452509679-1-1-1.thm,170,1.37878,2.52164,34.4444,1815.03,1815.03,well,
D/B/RISM452509692-1-1-1.thm,175,1.37878,1.95021,83.3333,1815.04,1815.04,well,
D/B/RISM452509692-1-1-2.thm,175,2.11808,2.11808,65.7143,1815.04,1815.04,well,
D/B/RISM452509591-1-1-1.thm,179,0.811278,1.5,56.4084,1815.04,1815.04,well,
D/B/RISM452509591-1-1-2.thm,179,2.17095,2.12193,58,1815.04,1815.04,well,
D/B/RISM452509624-1-1-1.thm,180,2.14926,2.3656,101.176,1815.04,1815.04,well,
D/B/RISM452509697-1-1-1.thm,183,2.52206,1.95083,21.8182,1815.04,1815.04,well,
A/Waf/RISM600066530-1-1-1.thm,184,0,0.543564,61.9444,1815.04,1815.04,well,
CH/BM/RISM400110485-1-1-1.thm,173/2,2.60222,2.5244,46.4127,1815.03,1815.04,well,
D/B/RISM452509652-1-1-1.thm,187,3.05656,2.42258,38.5714,1815.05,1815.05,well,
D/B/RISM452509652-1-1-2.thm,187,1.57095,2.04644,28.4,1815.05,1815.05,well,
D/B/RISM452509619-1-1-1.thm,192,2.4997,2.4116,51.6026,1815.05,1815.05,well,
D/B/RISM452509619-1-1-2.thm,192,2.05881,2.41938,65.233,1815.05,1815.05,well,
D/B/RISM452509630-1-1-1.thm,198,2.5,1.81128,66.6667,1815.05,1815.05,well,
D/B/RISM452509699-1-1-1.thm,199,1.45915,1.62581,47.1861,1815.05,1815.05,well,
D/B/RISM452509700-1-1-1.thm,203,2.52206,2.35539,70.4473,1815.05,1815.05,well,
D/B/RISM452509701-1-1-1.thm,204,1.95915,2.45083,18.7879,1815.05,1815.05,well,
D/B/RISM452509702-1-1-1.thm,205,1.32218,1.0958,27.3333,1815.05,1815.05,well,
